date,rating_today_above,rating_today_near,rating_today_below
3/21/2015,2,2,3
3/22/2015,2,2,3
3/23/2015,2,2,2
3/24/2015,2,1,1
3/25/2015,2,1,1
3/26/2015,2,1,1
3/27/2015,2,1,2
3/28/2015,1,2,2
3/29/2015,1,2,2
3/30/2015,1,2,2
3/31/2015,1,2,2
4/1/2015,1,2,2
4/2/2015,1,1,1
4/3/2015,2,2,1
4/4/2015,2,2,2
4/5/2015,1,1,1
4/22/2015,0,0,0
5/7/2015,0,0,0
11/2/2015,0,0,0
11/13/2015,2,2,2
11/14/2015,2,2,1
11/15/2015,2,2,1
11/16/2015,2,2,1
11/17/2015,3,3,2
11/18/2015,3,3,1
11/19/2015,2,3,1
11/20/2015,2,2,1
11/21/2015,2,2,1
11/22/2015,2,2,1
11/23/2015,2,2,1
11/24/2015,2,2,1
11/25/2015,2,2,1
11/26/2015,2,2,1
11/27/2015,2,2,1
11/28/2015,2,2,1
11/29/2015,2,2,1
11/30/2015,2,2,1
12/1/2015,2,2,1
12/2/2015,2,2,1
12/3/2015,2,2,1
12/4/2015,2,2,1
12/5/2015,2,2,1
12/6/2015,2,2,1
12/7/2015,2,2,1
12/8/2015,2,2,1
12/9/2015,2,2,1
12/10/2015,2,2,1
12/11/2015,2,2,1
12/12/2015,2,2,1
12/13/2015,2,2,1
12/14/2015,2,2,1
12/15/2015,3,3,2
12/16/2015,3,2,2
12/17/2015,3,2,2
12/18/2015,2,2,1
12/19/2015,2,2,1
12/20/2015,2,2,1
12/21/2015,2,2,2
12/22/2015,3,3,3
12/23/2015,3,3,3
12/24/2015,3,3,3
12/25/2015,3,3,3
12/26/2015,3,3,2
12/27/2015,3,3,2
12/27/2015,3,2,2
12/28/2015,3,2,2
12/29/2015,3,2,2
12/30/2015,2,2,2
12/31/2015,2,2,2
1/1/2016,2,2,1
1/2/2016,2,2,1
1/3/2016,2,2,1
1/4/2016,2,2,1
1/5/2016,2,2,1
1/6/2016,2,2,1
1/7/2016,2,2,1
1/8/2016,2,2,1
1/9/2016,2,2,1
1/10/2016,1,1,1
1/11/2016,2,1,1
1/12/2016,2,1,1
1/13/2016,1,1,1
1/14/2016,1,1,1
1/15/2016,2,2,1
1/16/2016,2,2,1
1/17/2016,2,2,1
1/17/2016,3,3,2
1/18/2016,3,3,2
1/19/2016,3,3,2
1/20/2016,3,3,2
1/21/2016,3,3,2
1/22/2016,2,2,2
1/23/2016,2,2,1
1/24/2016,2,2,1
1/25/2016,2,2,1
1/26/2016,2,2,1
1/27/2016,2,2,1
1/28/2016,2,2,1
1/29/2016,2,2,1
1/30/2016,2,2,1
1/31/2016,3,3,3
2/1/2016,3,3,3
2/2/2016,3,3,3
2/3/2016,3,3,3
2/4/2016,3,3,3
2/5/2016,3,3,2
2/6/2016,3,2,2
2/7/2016,2,2,2
2/8/2016,2,2,2
2/9/2016,2,2,2
2/10/2016,2,2,2
2/11/2016,2,2,2
2/12/2016,2,2,1
2/13/2016,2,2,1
