date,rating_today_above,rating_today_near,rating_today_below,precip_accum_24_hour,day_of_year
11/26/2014,3,3,2,0.0,330
11/26/2015,2,2,1,0.508,330
11/26/2016,1,1,1,0.0,331
11/27/2014,3,2,2,0.0,331
11/27/2015,2,2,1,0.254,331
11/27/2016,2,2,1,0.0,332
11/28/2014,2,2,2,0.0,332
11/28/2015,2,2,1,0.0,332
11/28/2016,2,2,1,1.778,333
11/29/2014,2,2,2,0.0,333
11/29/2015,2,2,1,0.0,333
11/29/2016,2,2,1,3.048,334
11/30/2014,2,2,1,2.54,334
11/30/2015,2,2,1,0.254,334
11/30/2016,2,2,1,1.016,335
12/1/2014,2,2,1,0.0,335
12/1/2015,2,2,1,1.016,335
12/1/2016,2,2,1,0.0,336
12/10/2014,1,1,1,0.0,344
12/10/2015,2,2,1,0.0,344
12/10/2016,3,3,1,5.334,345
12/11/2014,1,1,1,0.0,345
12/11/2015,2,2,1,0.0,345
12/11/2016,4,4,2,2.032,346
12/12/2014,1,1,1,0.0,346
12/12/2015,2,2,1,0.0,346
12/12/2016,4,4,2,12.446,347
12/13/2014,1,1,1,0.0,347
12/13/2015,2,2,1,0.254,347
12/13/2016,3,3,2,0.0,348
12/14/2014,2,2,2,0.0,348
12/14/2015,2,2,1,0.0,348
12/14/2016,2,3,2,0.0,349
12/15/2014,2,2,2,4.318,349
12/15/2015,3,3,2,0.508,349
12/15/2016,3,3,2,6.096,350
12/16/2014,2,2,2,1.016,350
12/16/2015,3,2,2,1.524,350
12/16/2016,3,3,3,1.27,351
12/17/2014,2,2,1,0.0,351
12/17/2015,3,2,2,0.0,351
12/17/2016,4,4,3,3.81,352
12/18/2014,2,2,1,0.0,352
12/18/2015,2,2,1,0.0,352
12/18/2016,3,3,2,18.542,353
12/19/2014,2,2,1,0.254,353
12/19/2015,2,2,1,0.0,353
12/19/2016,3,3,2,0.0,354
12/2/2014,2,2,1,0.0,336
12/2/2015,2,2,1,0.0,336
12/2/2016,2,2,1,0.0,337
12/20/2014,2,2,1,0.0,354
12/20/2015,2,2,1,0.0,354
12/20/2016,3,2,2,0.0,355
12/21/2014,3,3,3,0.0,355
12/21/2015,2,2,2,1.016,355
12/21/2016,2,2,2,0.0,356
12/22/2014,4,4,4,0.254,356
12/22/2015,3,3,3,0.762,356
12/22/2016,2,2,1,0.0,357
12/23/2013,3,3,1,0.508,357
12/23/2014,4,4,3,15.748,357
12/23/2015,3,3,3,0.0,357
12/23/2016,2,2,1,0.0,358
12/24/2013,2,2,2,0.0,358
12/24/2014,3,3,3,0.0,358
12/24/2015,3,3,3,0.0,358
12/24/2016,2,1,1,5.08,359
12/25/2013,3,3,2,4.064,359
12/25/2014,3,3,3,0.0,359
12/25/2015,3,3,3,0.0,359
12/25/2016,2,2,1,0.0,360
12/26/2013,3,3,2,0.0,360
12/26/2014,3,3,2,0.254,360
12/26/2015,3,3,2,0.508,360
12/26/2016,2,2,1,0.508,361
12/27/2013,2,2,2,0.0,361
12/27/2014,2,2,2,0.0,361
12/27/2015,3,3,2,0.508,361
12/27/2015,3,3,2,0.508,361
12/27/2015,3,3,2,0.508,361
12/27/2015,3,3,2,0.508,361
12/27/2015,3,3,2,0.508,361
12/27/2015,3,3,2,0.508,361
12/27/2015,3,3,2,0.508,361
12/27/2015,3,3,2,0.508,361
12/27/2015,3,2,2,0.508,361
12/27/2015,3,2,2,0.508,361
12/27/2015,3,2,2,0.508,361
12/27/2015,3,2,2,0.508,361
12/27/2015,3,2,2,0.508,361
12/27/2015,3,2,2,0.508,361
12/27/2015,3,2,2,0.508,361
12/27/2015,3,2,2,0.508,361
12/27/2016,2,2,1,0.0,362
12/28/2013,2,2,1,0.0,362
12/28/2014,3,3,2,0.0,362
12/28/2015,3,2,2,0.254,362
12/28/2016,2,2,1,0.0,363
12/29/2013,2,2,1,0.0,363
12/29/2014,3,3,2,0.762,363
12/29/2015,3,2,2,0.0,363
12/29/2016,2,2,1,0.762,364
12/3/2014,2,2,1,0.0,337
12/3/2015,2,2,1,0.0,337
12/3/2016,2,2,1,0.0,338
12/30/2013,2,2,1,0.254,364
12/30/2014,3,2,2,1.778,364
12/30/2015,2,2,2,0.0,364
12/30/2016,2,1,1,0.0,365
12/31/2013,2,2,1,0.0,365
12/31/2014,2,2,2,0.0,365
12/31/2015,2,2,2,0.0,365
12/31/2016,2,1,1,0.0,366
12/4/2014,2,2,1,0.0,338
12/4/2015,2,2,1,0.0,338
12/4/2016,2,2,1,0.0,339
12/5/2014,2,2,1,0.0,339
12/5/2015,2,2,1,0.0,339
12/5/2016,2,2,1,0.0,340
12/6/2014,2,2,1,0.254,340
12/6/2015,2,2,1,0.0,340
12/6/2016,2,2,1,2.032,341
12/7/2014,1,2,1,0.0,341
12/7/2015,2,2,1,0.254,341
12/7/2016,3,3,1,2.794,342
12/8/2014,1,2,1,0.0,342
12/8/2015,2,2,1,0.254,342
12/8/2016,2,2,1,9.652,343
12/9/2014,1,2,1,0.0,343
12/9/2015,2,2,1,0.762,343
12/9/2016,3,3,1,0.508,344
2/1/2014,3,3,3,9.906,32
2/1/2015,2,2,1,0.508,32
2/1/2016,3,3,3,10.414,32
2/1/2017,2,2,2,0.0,32
2/10/2014,4,4,3,7.112,41
2/10/2015,2,2,1,0.0,41
2/10/2016,2,2,2,2.54,41
2/10/2017,2,2,3,0.254,41
2/11/2014,4,3,3,7.62,42
2/11/2015,2,2,1,1.524,42
2/11/2016,2,2,2,1.778,42
2/11/2017,2,2,2,0.0,42
2/12/2014,3,3,3,0.0,43
2/12/2015,2,2,1,0.508,43
2/12/2016,2,2,1,0.508,43
2/12/2017,2,2,2,1.778,43
2/13/2014,3,3,3,0.0,44
2/13/2015,2,2,1,0.0,44
2/13/2016,2,2,1,0.0,44
